no,category1,category2
1,コミュニケーション・ビジネススキル,報連相
2,コミュニケーション・ビジネススキル,傾聴
3,コミュニケーション・ビジネススキル,質問力
4,コミュニケーション・ビジネススキル,説明力
5,コミュニケーション・ビジネススキル,ビジネス文書・メール
6,コミュニケーション・ビジネススキル,会議運営
7,コミュニケーション・ビジネススキル,ファシリテーション
8,コミュニケーション・ビジネススキル,プレゼンテーション
9,コミュニケーション・ビジネススキル,交渉力
10,コミュニケーション・ビジネススキル,非言語コミュニケーション
11,読解力・思考力,文章理解・要約力
12,読解力・思考力,情報の読み取り
13,読解力・思考力,ロジカルシンキング
14,読解力・思考力,クリティカルシンキング
15,読解力・思考力,仮説思考
16,読解力・思考力,課題分解
17,読解力・思考力,問題発見力
18,読解力・思考力,意思決定
19,読解力・思考力,リーディングスキル
20,キャリア・自己管理,セルフマネジメント
21,キャリア・自己管理,タイムマネジメント
22,キャリア・自己管理,目標設定
23,キャリア・自己管理,自己啓発・学習習慣
24,キャリア・自己管理,キャリア
25,キャリア・自己管理,ストレスマネジメント
26,キャリア・自己管理,メンタルヘルス
27,キャリア・自己管理,健康管理
28,IT・デジタル,IT用語
29,IT・デジタル,OS・ソフトウェア
30,IT・デジタル,デジタルツール
31,IT・デジタル,クラウド
32,IT・デジタル,ネットワーク
33,IT・デジタル,業務システム
34,IT・デジタル,生成AI
35,情報管理・セキュリティ,情報セキュリティ基礎
36,情報管理・セキュリティ,パスワード・認証管理
37,情報管理・セキュリティ,標的型攻撃・フィッシング対策
38,情報管理・セキュリティ,情報漏えい防止
39,情報管理・セキュリティ,個人情報保護
40,情報管理・セキュリティ,SNS利用
41,情報管理・セキュリティ,データガバナンス
42,情報管理・セキュリティ,内部不正防止
43,データ分析・活用,データリテラシー
44,データ分析・活用,統計
45,データ分析・活用,データ可視化
46,データ分析・活用,BIツール
47,データ分析・活用,KPI・指標
48,データ分析・活用,データに基づく意思決定
49,プロジェクト管理,プロジェクト管理
50,プロジェクト管理,タスク管理
51,プロジェクト管理,WBS
52,プロジェクト管理,スケジュール管理
53,プロジェクト管理,進捗管理
54,プロジェクト管理,課題管理
55,プロジェクト管理,リスク管理
56,プロジェクト管理,工数管理
57,プロジェクト管理,ステークホルダーマネジメント
58,業務改善・品質管理,5S
59,業務改善・品質管理,業務標準化
60,業務改善・品質管理,マニュアル整備
61,業務改善・品質管理,業務プロセス設計
62,業務改善・品質管理,ムダ削減
63,業務改善・品質管理,PDCA
64,業務改善・品質管理,QC基礎
65,業務改善・品質管理,品質保証
66,業務改善・品質管理,再発防止
67,経営・戦略,経営理念
68,経営・戦略,経営戦略基礎
69,経営・戦略,SWOT分析
70,経営・戦略,競争戦略
71,経営・戦略,事業ポートフォリオ
72,経営・戦略,中期経営計画
73,経営・戦略,経営指標
74,経営・戦略,企業価値
75,顧客理解・マーケティング,顧客ニーズ分析
76,顧客理解・マーケティング,市場調査
77,顧客理解・マーケティング,STP分析
78,顧客理解・マーケティング,マーケティングミックス
79,顧客理解・マーケティング,カスタマージャーニー
80,顧客理解・マーケティング,CRM・顧客管理
81,顧客理解・マーケティング,顧客満足
82,顧客理解・マーケティング,ブランド
83,顧客理解・マーケティング,広告・販促基礎
84,会計・財務・税務,財務諸表
85,会計・財務・税務,キャッシュフロー
86,会計・財務・税務,収益性・安全性分析
87,会計・財務・税務,原価・コスト
88,会計・財務・税務,管理会計
89,会計・財務・税務,損益分岐点
90,会計・財務・税務,予算管理
91,会計・財務・税務,投資判断
92,会計・財務・税務,税務基礎
93,税金・年末調整,所得税の基本
94,税金・年末調整,住民税の基本
95,税金・年末調整,給与明細と税金
96,税金・年末調整,源泉徴収
97,税金・年末調整,源泉徴収票の見方
98,税金・年末調整,年末調整の基本
99,税金・年末調整,扶養控除等申告書
100,税金・年末調整,扶養控除
101,税金・年末調整,基礎控除・配偶者控除
102,税金・年末調整,保険料控除
