id,category1,category2,question,a,b,c,answer,explanation,active
1,労務・雇用,安全衛生,ストレスチェック制度が義務付けられている事業場として正しいのはどれでしょう。,従業員10人以上,従業員30人以上,従業員50人以上,C,ストレスチェック制度は、常時50人以上の労働者がいる事業場に義務付けられています。50人未満は努力義務です。,TRUE
2,勤怠管理,36協定と残業上限,36協定で定める「週の時間外労働の上限」として正しいのはどれでしょう。,10時間,15時間,法律上の明確な上限はない,C,週についても、1日と同様に法律上の時間外労働の上限は定められていません。36協定の限度時間は「月」と「年」で管理されるため、週単位の上限は協定内容に委ねられています。,TRUE
3,労務・雇用,安全衛生,衛生委員会で審議すべき内容として最も適切なのはどれでしょう。,従業員からの内部通報,従業員の人事異動,健康診断結果の活用や職場の環境改善,C,衛生委員会では、健康診断結果の活用、ストレスチェックの実施方法、職場環境改善など、労働者の健康に関わる事項を審議します。,TRUE
4,労務・雇用,ハラスメント,顧客や取引先からの著しい迷惑行為への対応として最も適切なものはどれですか,顧客相手なので従業員は我慢する,売上を守るため現場担当者に個別対応を任せる,従業員の安全や就業環境を守る観点から組織として対応方針を整える,C,顧客や取引先からの著しい迷惑行為は従業員の就業環境に影響します。現場任せにせず対応基準や相談先やエスカレーション方法を整えることが重要です,TRUE
5,リスク管理・危機対応,災害対応,火災が発生した際の初動対応として最も適切なのはどれでしょう。,まず自分の荷物を持って避難する,火元に近づいて状況を確認する,「通報・初期消火・避難誘導」を状況に応じて行う,C,火災時の初動対応は「通報」「初期消火」「避難誘導」の3つが基本です。状況に応じて優先順位を判断し、無理な初期消火は避ける必要があります。,TRUE
6,労務・雇用,ハラスメント,職場で人格を否定するような発言があった場合の考え方として最も適切なものはどれですか,冗談であれば問題にならない,一度だけであれば必ず問題にする必要はない,業務上の注意であっても人格や尊厳を傷つける表現は避ける必要がある,C,業務上の注意は事実や改善行動に焦点を当てるべきです。人格や能力を全面的に否定する言動は相手の尊厳を傷つけ職場環境を悪化させるおそれがあります,TRUE
7,労務・雇用,ハラスメント,パワーハラスメント防止措置が義務化されている事業場として正しいのはどれでしょう。,従業員1000人以上の企業のみ,従業員50人未満の企業のみ,すべての企業,C,2022年4月から、パワハラ防止措置は中小企業を含むすべての企業に義務化されています。企業規模に関係なく、相談窓口の設置や再発防止策が求められます。,TRUE
8,顧客理解・マーケティング,マーケティングミックス,マーケティングの「4P」のうち、Place（プレイス）が示すものはどれでしょう。,製品の特徴,価格設定,販売チャネルや流通,C,4Pの「Place」は、商品を顧客に届けるための流通や販売チャネルを指します。店舗、ECサイト、物流などが含まれます。,TRUE
9,顧客理解・マーケティング,STP分析,STP分析の「T（Targeting）」の目的として最も適切なのはどれでしょう。,市場全体を分析する,顧客を細かく分類する,どの顧客層を狙うか決める,C,STP分析では、Segmentation（市場の細分化）、Targeting（狙う顧客層の選定）、Positioning（自社の立ち位置の明確化）の順に行います。Tは「どの顧客層を狙うか」を決める段階です。,TRUE
10,勤怠管理,36協定と残業上限,36協定の「1年の時間外労働の限度時間（360時間・720時間など）」を管理する際の「1年の起算日」はどう決まるでしょう。,必ず1月1日,必ず4月1日,労使で定めた対象期間の開始日,C,36協定では「対象期間」を労使で定めるため、その開始日がそのまま1年の起算日になります。年次有給休暇の管理とは別の起算日になることも多く、混乱しやすいポイントです。,TRUE
11,勤怠管理,36協定と残業上限,過半数代表者として不適切な選出方法はどれでしょう。,立候補制,投票による選出,会社が指名する,C,過半数代表者は労働者の自主的な選出が必要であり、会社が指名することは認められていません。,TRUE
12,勤怠管理,36協定と残業上限,36協定の「対象期間」として正しいものはどれでしょう。,1か月,3か月,1年以内で労使が定める期間,C,36協定の対象期間は「1年以内」であれば労使で設定できます。1年とすることが一般的ですが、業務の状況に応じて設定できる点が特徴です。,TRUE
13,勤怠管理,労働時間の基本,勤怠管理における「1か月の起算日」として正しい扱いはどれでしょう。,法律で1日と決められている,法律で月末と決められている,会社が就業規則で定めれば自由に設定できる,C,労働基準法では、1か月の起算日も特に定めていません。そのため、企業が「1日」「16日」「21日」など自由に設定できます。,TRUE
14,勤怠管理,36協定と残業上限,36協定の「1か月の時間外労働の限度時間（45時間など）」を管理する際の「1か月の起算日」はどう扱われるでしょう。,必ず1日から月末まで,必ず給与締日に合わせる,労使で決めた対象期間の開始日が起算日になる,C,36協定では「対象期間」を労使で定めるため、その開始日がそのまま1か月の起算日になります。勤怠管理と36協定の管理がずれることもあるため、実務では注意が必要です。,TRUE
15,法務・コンプライアンス,著作権,ネット上での著作権に関するコンプライアンスとして正しいのはどれでしょう。,ネットにある画像は自由に使ってよい,出典を書けば著作物を自由に転載できる,著作権者の許可が必要な場合がある,C,インターネット上の画像や文章にも著作権があります。出典を書けば自由に使えるわけではなく、著作権者の許可が必要なケースがあります。,TRUE
16,勤怠管理,労働時間の基本,労働基準法における「1週間の起算日」として正しいものはどれでしょう。,法律で月曜日と決められている,法律で日曜日と決められている,会社が就業規則で定めれば自由に設定できる,C,労働基準法では、1週間の起算日を特に定めていません。そのため、企業が就業規則などで自由に設定できます。一般的には「日曜起算」や「月曜起算」が多いですが、どれを選ぶかは会社次第です。週40時間の管理や休日労働の判断に関わるため、明確に定めておくことが重要です。,TRUE
17,IT・デジタル,IT用語,コンピュータの「CPU」の役割として最も適切なのはどれでしょう。,データを長期間保存する,画面に画像を表示する,命令を解釈し処理を実行する,C,CPUはコンピュータの中枢であり、命令を解釈して処理を実行する役割を持ちます。記憶や表示、通信などは別の装置が担当します。,TRUE
18,経営・戦略,SWOT分析,SWOT分析の「T（Threat）」に該当するものはどれでしょう。,自社の強み,自社の弱み,外部環境の脅威,C,SWOT分析では、外部環境のうち企業にとって不利に働く要因を「Threat（脅威）」と呼びます。競合の増加や市場縮小などが該当します。,TRUE
19,業務改善・品質管理,品質保証,「品質」の説明として最も適切なのはどれでしょう。,価格が高いほど品質が良い,作った人が良いと思えば品質が良い,顧客の要求を満たしているかどうかで決まる,C,品質とは「顧客の要求を満たしているかどうか」で決まります。作り手の主観や価格の高さではなく、顧客が求める性能・安全性・使いやすさなどを満たしているかが品質の本質です。,TRUE
20,業務改善・品質管理,QC基礎,QC七つ道具の一つで、データのばらつきを視覚的に確認できる図はどれでしょう。,パレート図,散布図,ヒストグラム,C,ヒストグラムは、データを階級ごとに区分して棒グラフで表し、ばらつきや分布の形を確認できる図です。QC七つ道具の中でも、データの特徴をつかむために最も基本的な手法の一つです。,TRUE
21,労務・雇用,ハラスメント,職場でのハラスメント防止に関するコンプライアンスとして最も適切なのはどれでしょう。,不快に感じる人がいなければ問題ない,上司が行う指導はすべてハラスメントに当たらない,相手の受け取り方を尊重し、行動を見直す必要がある,C,ハラスメントは「相手がどう受け取るか」が重要であり、加害者側の意図とは関係なく成立します。職場では、相手の立場や感情に配慮し、必要に応じて行動を見直すことがコンプライアンスとして求められます。,TRUE
22,法務・コンプライアンス,契約基礎,クーリングオフ制度が適用されるケースとして最も適切なのはどれでしょう。,店舗で自分の意思で購入した商品,通信販売で購入した商品,訪問販売で契約した商品,C,クーリングオフは、訪問販売など消費者が不意打ち的に契約させられる可能性がある取引に適用されます。通信販売や店舗購入には原則として適用されません。,TRUE
